"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 14 12:24:19 GMT 2023","Sat Oct 14 12:24:23 GMT 2023","3831","tests","test_issue_name","","","","test_issue_name_allure_dynamic_steps",""
"passed","Sat Oct 14 12:24:10 GMT 2023","Sat Oct 14 12:24:19 GMT 2023","9024","tests","test_issue_name","","","","test_issue_name_selene",""
"passed","Sat Oct 14 12:24:23 GMT 2023","Sat Oct 14 12:24:26 GMT 2023","3222","tests","test_issue_name","","","","test_issue_name_allure_decorator_steps",""
